0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
246.58,246.58,246.58,246.58,246.43,246.48,246.48,246.4,246.4,246.48,246.48,246.56,246.4,246.56,246.89,246.92,246.89,246.92,246.92,246.91,246.91,246.91,246.84,246.67,246.84,246.51,246.38,246.38,246.38,246.85,246.99,246.88,246.88,246.99,246.69,246.88,246.76,246.74,246.69,246.69,246.69,246.75,246.75,246.69,246.69,246.31,246.32,246.48,246.48,246.7,246.7,246.74,246.74,246.7,246.39,246.39,246.32,246.05,246.19,246.32
0.76824,0.77141,0.76745,0.76806,0.76806,0.76806,0.76806,0.76806,0.77092,0.77104,0.77104,0.77104,0.77092,0.77613,0.77695,0.77694,0.77682,0.77694,0.77695,0.77694,0.78607,0.78616,0.78607,0.78607,0.78802,0.78847,0.78844,0.78742,0.78742,0.78777,0.78777,0.79256,0.79335,0.79256,0.79256,0.79596,0.79256,0.7951,0.79517,0.7947,0.79572,0.7951,0.79572,0.79572,0.79572,0.79561,0.79546,0.79561,0.79561,0.79561,0.79382,0.79382,0.7921,0.7921,0.7921,0.7921,0.7921,0.7921,0.78918,0.79088
0.85829,0.85626,0.86071,0.85804,0.86084,0.86084,0.86084,0.86071,0.85478,0.85449,0.85638,0.85638,0.85449,0.85449,0.85929,0.85929,0.87109,0.87402,0.87168,0.85929,0.86663,0.87402,0.86954,0.86951,0.86954,0.86954,0.86954,0.86954,0.88852,0.88942,0.91911,0.92796,0.92796,0.88852,0.88942,0.9412,0.91303,0.91097,0.91303,0.90499,0.90456,0.91097,0.90499,0.89359,0.89359,0.89359,0.89472,0.90467,0.90467,0.89801,0.89867,0.89705,0.89867,0.89867,0.89867,0.88713,0.88713,0.89062,0.88713,0.8899
0.90321,0.90447,0.90313,0.90338,0.9008,0.90313,0.88855,0.9008,0.89048,0.89019,0.89013,0.89048,0.89019,0.89019,0.89019,0.88704,0.88703,0.89251,0.88704,0.89251,0.89251,0.89479,0.88873,0.8885,0.8885,0.89017,0.8885,0.90358,0.90358,0.90786,0.90786,0.91116,0.91116,0.91037,0.91037,0.90956,0.91116,0.92002,0.91037,0.91795,0.91795,0.92002,0.9208,0.9208,0.9208,0.91539,0.9208,0.9208,0.91539,0.93074,0.93074,0.9643,0.93074,0.93074,0.96367,0.96264,0.9643,0.95033,0.96264,0.96264
0.93233,0.93024,0.93024,0.9301,0.9301,0.9305,0.9301,0.94584,0.9474,0.9474,0.9474,0.9474,0.9474,0.99273,1.009,1.009,1.009,1.009,1.018,1.019,1.013,1.018,1.018,1.013,1.013,0.98636,0.98482,0.98636,0.97432,0.97265,0.97332,0.97373,0.97373,0.97432,0.97265,0.97332,0.98005,0.98123,0.97838,0.98123,0.97838,0.98123,0.98123,0.98633,0.99816,0.99816,0.98633,0.96208,0.99816,0.95616,0.96208,0.94934,0.94986,0.94986,0.9503,0.94934,0.94986,0.933,0.933,0.92975
0.99298,0.98726,0.99298,0.98852,0.98852,0.98852,0.98852,1.062,1.062,1.062,1.062,1.031,1.026,1.009,1.026,1.031,1.026,0.9983,0.99827,0.99827,0.99827,0.99993,0.99993,0.99993,0.99091,0.99993,0.9835,0.9835,0.98277,0.9835,0.98277,0.97789,0.97798,0.98435,0.98435,0.98676,0.98676,0.98435,0.98293,0.98293,0.98293,0.98293,0.98293,0.99039,0.99018,0.99018,1.007,0.99018,1.001,1.007,1.007,0.98786,0.99028,0.98704,0.98204,0.99028,0.97188,0.97286,0.97188,0.97188
0.94844,0.94827,0.94904,0.95816,0.959,0.96778,0.94904,0.96778,0.96951,0.97016,0.96778,0.97225,0.97134,0.97177,0.9714,0.97225,0.97177,0.9714,0.98244,0.98508,0.98244,0.98244,0.98244,0.98508,0.98508,1.005,1.009,0.99513,0.99221,0.99221,0.99221,0.98204,0.99513,0.99221,0.98204,0.9791,0.97409,0.97354,0.97246,0.97495,0.97495,0.97495,0.98566,0.98593,0.97828,0.97832,0.97832,0.98593,0.97832,0.97353,0.96852,0.97353,0.97353,0.97076,0.97086,0.97217,0.97194,0.97086,0.97086,0.97194
0.02258,0.02258,0.02256,0.02259,0.02259,0.02259,0.02256,0.02259,0.02254,0.02254,0.02254,0.02254,0.02254,0.02254,0.02254,0.02243,0.02243,0.02241,0.0224,0.0224,0.0224,0.02244,0.02247,0.02248,0.02248,0.02244,0.02247,0.02242,0.02242,0.02244,0.02244,0.02242,0.02242,0.02232,0.02227,0.02226,0.02228,0.02232,0.02228,0.02234,0.02234,0.02234,0.0223,0.0223,0.02234,0.02227,0.02227,0.02226,0.02226,0.02224,0.02224,0.02224,0.02224,0.02224,0.02224,0.02228,0.02226,0.02224,0.02226,0.02228
